,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2348,Consumption Risk And The Cost Of Equity Capital,2005.0,chinese academy of science,Hong Kong University of Science and Technology,professor,northwestern university,,Yong Wang
2349,Quick Response Economic Stimulus: The Effect of Small-Value Digital Coupons on Spending,2005.0,chinese academy of science,Hong Kong University of Science and Technology,professor,chinese academy of science,,Yong Wang
