,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1137,Going Bankrupt in China,2006.0,university of california berkeley,tsinghua university,associate professor,tsinghua univeristy,associate professor,Li Bo
1138,Going Bankrupt in China,2006.0,university of california berkeley,tsinghua university,associate professor,tsinghua university,associate professor,Li Bo
1139,Going bankrupt in China,2006.0,university of california berkeley,tsinghua university,associate professor,tsinghua university,associate professor,Li Bo
