,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1181,The Welfare Cost Of Retirement Uncertainty,2010.0,university college london,california state university fullerton,assistant professor,,,Maria Casanova
1182,Effects Of Retirement Timing Uncertainty,2010.0,university college london,california state university fullerton,assistant professor,california state university fullerton,assistant professor,Maria Casanova
