,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
452,Tiebreaker: Certification And Multiple Credit Ratings,2009.0,university of amsterdam,erasmus university rotterdam,associate professor,erasmus university rotterdam,assistant professor,Dion Bongaerts
453,Closed for business,2009.0,university of amsterdam,erasmus university rotterdam,associate professor,erasmus university rotterdam,associate professor,Dion Bongaerts
454,Fire Sale Risk And Credit,2009.0,university of amsterdam,erasmus university rotterdam,associate professor,erasmus university rotterdam,associate professor,Dion Bongaerts
