,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2097,Urbanisation And Migration Externalities In China,1985.0,peking university,beijing normal university,professor,beijing normal university,professor,Shi Li
2098,Urbanisation And Migration Externalities In China,1985.0,peking university,beijing normal university,professor,beijing normal university,professor,Shi Li
2099,Unequal Migration And Urbanisation Gains In China,1985.0,peking university,beijing normal university,professor,beijing normal university,professor,Shi Li
