,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1839,Stay-At-Home Orders In A Fiscal Union,,vanderbilt university,vanderbilt university,phd candidate,vanderbilt university,phd candidate,Oscar O'Flaherty
1840,State-by-state decisions on shutdowns minimise Covid’s economic impact,,vanderbilt university,vanderbilt university,phd candidate,vanderbilt university,phd candidate,Oscar O'Flaherty
