,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
762,Contractual Rigidity And Political Contestability: Revisiting Public Contract Renegotiations,,ecole normale superieure,universit?© paris 1 panth?©on sorbonne,assistant porfessor,universit?© paris 1 panth?©on sorbonne,assistant professor,Jean Beuve
763,Political contestability and public contract renegotiations,,ecole normale superieure,universit?© paris 1 panth?©on sorbonne,assistant porfessor,universit?© paris 1 panth?©on sorbonne,assistant professor,Jean Beuve
