,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
78,The Search For A Euro Area Safe Asset,2013.0,barcelona graduate school of economics,caixa bank,economist,peterson institute for international economics,researcher,Alvaro Leandro
79,Beyond Esbies: Safety Without Tranching,2013.0,barcelona graduate school of economics,caixa bank,economist,peterson institute for international economics,researcher,Alvaro Leandro
80,Ditch the EU’s fiscal rules; develop fiscal standards instead,2013.0,barcelona graduate school of economics,caixa bank,economist,peterson institute for international economics,researcher,Alvaro Leandro
