,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1169,Marketmaking Middlemen,2005.0,university of essex,vu university amsterdam,associate professor,tinbergen institute,research fellow,Makoto Watanabe
1170,Selling Constraints,2005.0,university of essex,vu university amsterdam,associate professor,vu university amsterdam,associate professor,Makoto Watanabe
1171,Multiproduct Intermediaries,2005.0,university of essex,vu university amsterdam,associate professor,vu university amsterdam,associate professor,Makoto Watanabe
