,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1067,"Housing, Mortgages, And Self Control",2013.0,university of munich,copenhagen business school,assistant professor,stockholm university,assistant professor,Kathrin Schlafmann
1068,Overpersistence Bias In Individual Income Expectations And Its Aggregate Implications,2013.0,university of munich,copenhagen business school,assistant professor,stockholm university,assistant professor,Kathrin Schlafmann
1069,Information and Wealth Heterogeneity in the Macroeconomy,2013.0,university of munich,copenhagen business school,assistant professor,copenhagen business school,assistant professor,Kathrin Schlafmann
