,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1969,Eu-Uk Global Value Chain Trade And The Indirect Costs Of Brexit,,university of ancona,bank of italy,,bank of italy,senior economist,Rita Cappariello
1970,Rising Protectionism And Global Value Chains: Quantifying The General Equilibrium Effects,,university of ancona,bank of italy,,,,Rita Cappariello
