,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1039,Wage Moderation In Spain,,university of santiago de compostela,bbva,principal economist,bbva,principal economist,Juan Garcia
1040,Tracking The Covid-19 Crisis With High-Resolution Transaction Data,,university of santiago de compostela,bbva,principal economist,bbva,principal economist,Juan Garcia
1041,Tracking The Covid-19 Crisis Through Transactions,,university of santiago de compostela,bbva,principal economist,bbva,principal economist,Juan Garcia
