,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
348,Is More Finance Better? Disentangling Intermediation And Size Effects Of Financial Systems,2013.0,tilburg university, bank of england,economist, bank of england,economist,Christiane Kneer
349,All You Need Is Cash: Corporate Cash Holdings And Investment After The Financial Crisis,2013.0,tilburg university, bank of england,economist,bank of england,economist,Christiane Kneer
350,Cash In The Time Of Corona,2013.0,tilburg university, bank of england,economist,bank of england,economist,Christiane Kneer
