,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2350,Nominal Exchange Rate Dynamics And Monetary Policy: Uncovered Interest Rate Parity And Purchasing Power Parity Revisited,2004.0,ben-gurion university,bank of israel,head of unit,bank of israel,head of unit,Yossi Saadon
2351,Uncovered Interest Rate Parity And Purchasing Power Parity Revisited,2004.0,ben-gurion university,bank of israel,head of unit,bank of israel,head of unit,Yossi Saadon
2352,Federal Reserve Communication and the COVID-19 Pandemic,2004.0,ben-gurion university,bank of israel,head of unit,bank of israel,head of unit,Yossi Saadon
