,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
688,Conflicts Of Interest In Sell-Side Research And The Moderating Role Of Institutional Investors,1999.0,university of california berkeley,shanghai advanced institute of finance,professor,university of texas at austin,assistant professor,Hong Yan
689,Asset Return Predictability In A Heterogeneous Agent Equilibrium Model,1999.0,university of california berkeley,shanghai advanced institute of finance,professor,shanghai advanced institute of finance,professor,Hong Yan
