,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
980,The Impact Of Capital Requirements On Bank Lending,,university of cambridge,bank of england,senior economist,reserve bank of australia,secondment to the economic group,Jonathan Bridges
981,"Credit, capital and crises: a GDP-at-Risk approach",,university of cambridge,bank of england,senior economist,bank of england,senior manager,Jonathan Bridges
