,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1070,Marriage Equality And Tolerance Towards Lgbt,2020.0,diw berlin,diw berlin,phd. candidate,diw berlin,phd candidate,Kevin Tran
1071,Do Laws Shape Attitudes? Evidence From Same-Sex Relationship Recognition Policies In Europe,2020.0,diw berlin,diw berlin,phd. candidate,diw berlin,phd candidate,Kevin Tran
1072,Airbnb and Rental Markets: Evidence from Berlin,2020.0,diw berlin,diw berlin,phd. candidate,university of bristol,lecturer,Kevin Tran
