,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
113,Measuring Output Gap Uncertainty,1990.0,queen mary university of london,warwick business school,professor,birbeck university of london,professor,Anthony Garratt
114,Currency Anomalies,1990.0,queen mary university of london,warwick business school,professor,warwick business school,professor,Anthony Garratt
