,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
773,The Nexus of Elites and War Mobilization,,Chinese University of Hong Kong,Chinese University of Hong Kong,phd student,Chinese University of Hong Kong,phd student,Jiaojiao Yang
774,The Nexus of Elites and War Mobilization,,Chinese University of Hong Kong,Chinese University of Hong Kong,phd student,,,Jiaojiao Yang
