,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1228,Fiscal Development under Colonial and Sovereign Rule,2017.0,northwetern university,harvard university,assistant professor,harvard university,assistant professor,Marlous Van Waijenburg
1229,"The Great Convergence Skill Accumulation And Mass Education In Africa And Asia, 1870-2010",2017.0,northwestern university,university of michigan,assistant professor,university of michigan,assistant professor,Marlous Van Waijenburg
1230,Skill Accumulation And Mass Education In Africa And Asia,2017.0,northwestern university,university of michigan,assistant professor,university of michigan,assistant professor,Marlous Van Waijenburg
