,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
466,INTERNATIONAL FIRMS AND COVID-19: EVIDENCE FROM A GLOBAL SURVEY,2020.0,American University,international trade centre,consultant,,,Eric Carlson
467,International firms: More exposed but more resilient during Covid-19,2020.0,American University,international trade centre,consultant,international trade centre,consultant,Eric Carlson
