,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1831,Erroneous modelling of the scale and dynamics of COVID 19,2014.0,tau,be free israel,chair,be free israel,chair,Ofer Cornfeld
1832,Caveats for Economists: Epidemiology-Based Modelling of COVID19 and Model Misspecifications,2014.0,tau,be free israel,chair,be free israel,chair,Ofer Cornfeld
1833,"When to Lock, Not Whom:  Managing Epidemics Using Time-Based Restrictions",2014.0,tau,be free israel,chair,be free israel,chair,Ofer Cornfeld
