,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
175,When agriculture drives development,2014.0,University of Copenhagen,University of Copenhagen,assistant professor,University of Copenhagen,assistant professor,Asger Mose Wingender
176,Two Blades Of Grass: The Impact Of The Green Revolution,2014.0,university of copenhagen,university of copenhagen,assistant professor,university of copenhagen,phd candidate,Asger Mose Wingender
177,Two Blades Of Grass: The Impact Of The Green Revolution,2014.0,university of copenhagen,university of copenhagen,assistant professor,university of copenhagen,assistant professor,Asger Mose Wingender
