,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1534,"Growing Like Germany: Local Public Debt, Local Banks, Low Private Investment",2020.0,university of zurich,,Consultant,,Consultant,Michael Stiefel
1535,How high local public debt and local public banks crowd out private investment in Germany,2020.0,university of zurich,,Consultant,,Consultant,Michael Stiefel
