,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
509,Unintended Effects Of Loan Guarantees,2015.0,london school of economics,bank of italy,economist,bank of italy,economist,Francesco Palazzo
510,The Covid-19 pandemic and the opacity of firms‚Äö?Ñ?¥ and banks‚Äö?Ñ?¥ balance sheets,2015.0,london school of economics,bank of italy,economist,,unknown,Francesco Palazzo
