,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2087,"FiPIt: A Simple, Fast Global Method for Solving Models with Two Endogenous States & Occasionally Binding Constraints",2021.0,university of pennsylvania,federal reserve board,economist,the university of pennsylvania,phd student,Sergio Villalvazo
2088,Piecewise-Linear Approximations and Filtering for DSGE Models with Occasionally Binding Constraints,2021.0,university of pennsylvania,federal reserve board,economist,university of pennsylvania,phd student,Sergio Villalvazo
2089,Piecewise-Linear Approximations and Filtering for DSGE Models with Occasionally Binding Constraints,2021.0,university of pennsylvania,federal reserve board,economist,university of pennsylvania,phd student,Sergio Villalvazo
2090,SVARs With Occasionally-Binding Constraints,2021.0,university of pennsylvania,federal reserve board,economist,university of pennsylvania,phd candidate,Sergio Villalvazo
2091,SVARs With Occasionally-Binding Constraints,2021.0,university of pennsylvania,federal reserve board,economist,university of pennsylvania,phd student,Sergio Villalvazo
