,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2041,Politics In The Facebook Era,2010.0,universidad carlos iii de madrid,universidad carlos iii de madrid,associate professor,universidad carlos iii de madrid,associate professor,Ruben Cuevas Rumin
2042,Expanding the Measurement of Culture with a Sample of Two Billion Humans,2010.0,universidad carlos iii de madrid,universidad carlos iii de madrid,associate professor,universidad carlos iii of madrid,associate professor,Ruben Cuevas Rumin
2043,Expanding the Measurement of Culture with a Sample of Two Billion Humans,2010.0,universidad carlos iii de madrid,universidad carlos iii de madrid,associate professor,univesidad carlos iii,associate professor,Ruben Cuevas Rumin
2044,The enormous potential of social media to measure human culture,2010.0,universidad carlos iii de madrid,universidad carlos iii de madrid,associate professor,universidad carlos iii de madrid,associate professor,Ruben Cuevas Rumin
