,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2110,ON THE DESIGN OF A HEALTH EMERGENCY FUND IN THE EURO AREA POST COVID-19: PUBLIC SECTOR EFFICIENCY CONSIDERATIONS,2016.0,Obafemi Awolowo University,nigerian economic summit group,team lead,,phd,Sijuola Olanubi
2111,PUBLIC SECTOR EFFICIENCY IN THE DESIGN OF A COVID FUND FOR THE EURO AREA,2016.0,Obafemi Awolowo University,nigerian economic summit group,team lead,nigerian economic summit group,team lead,Sijuola Olanubi
