,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
504,Eu Solidarity In Fighting Covid-19,2017.0,universita  degli studi di trento,ghent university,assistant professor,ghent university,assistant professor,Francesco Nicoli
505,The European Commissions Sure Initiative And Euro Area Unemployment Re-Insurance,2017.0,universita  degli studi di trento,ghent university,assistant professor,ghent university,assistant professor,Francesco Nicoli
506,What kind of EU fiscal capacity? Evidence from a randomized survey experiment in five European countries in times of corona,2017.0,universita  degli studi di trento,ghent university,assistant professor,ghent university,professor,Francesco Nicoli
507,Stable consensus on European mutual assistance is possible,2017.0,universita  degli studi di trento,ghent university,assistant professor,ghent university,professor,Francesco Nicoli
508,Improving The Political Sustainability Of Next Generation Eu,2017.0,universita  degli studi di trento,ghent university,assistant professor,ghent university,assistant professor,Francesco Nicoli
