,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2045,Granular Credit Risk,2021.0,london business school,london business school,phd student,london business school,phd student,Rustam Jamilov
2046,Granular Credit Risk,2021.0,london business school,london business school,phd student,london business school,phd student,Rustam Jamilov
2047,Bewley Banks,2021.0,london business school,london business school,phd student,london business school,phd student,Rustam Jamilov
2048,The Anatomy of Cyber Risk,2021.0,london business school,london business school,phd student,university of oxford,postdoc,Rustam Jamilov
