,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1134,Scarred Consumption,2019.0,university of california berkeley,federal reserve board,economist,university of california at berkeley,phd candidate,Leslie Sheng Shen
1135,Scarred Consumption,2019.0,university of california berkeley,federal reserve board,economist,federal reserve board,economist,Leslie Sheng Shen
1136,Scarred consumption,2019.0,university of california berkeley,federal reserve board,economist,federal reserve board,economist,Leslie Sheng Shen
