,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
236,Decomposing Firm-Product Appeal: How Important Is Consumer Taste?,1980.0,university of wisconsin,penn state university,professor,penn state university,professor,Bee Yan Aw-Roberts
237,The Importance Of Consumer Taste In Trade,1980.0,university of wisconsin,penn state university,professor,penn state university,professor,Bee Yan Aw-Roberts
238,Consumer Taste in Trade,1980.0,university of wisconsin,penn state university,professor,penn state,professor,Bee Yan Aw-Roberts
