,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1769,Reforming The Eu Fiscal Framework: A Proposal By The European Fiscal Board,1971.0,university of copenhagen,european fiscal board,chairman,european fiscal board,chairman,Niels Thygesen
1770,Reforming the EU fiscal framework: Now is the time,1971.0,university of copenhagen,european fiscal board,chairman,"european fiscal board, european fiscal board",chairman,Niels Thygesen
1771,Rules-based fiscal frameworks under stress,1971.0,university of copenhagen,european fiscal board,chairman,"european fiscal board, european fiscal board",chairman,Niels Thygesen
1772,Fiscal support for a sustainable recovery in the euro area,1971.0,university of copenhagen,european fiscal board,chairman,"european fiscal board, european fiscal board",chairman,Niels Thygesen
