,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2205,Relaxing Hukou: Increased Labor Mobility And Chinas Economic Geography,1991.0,university of groningen,university of groningen,professor,university of groningen,professor,Steven Brakman
2206,Options For A Global Britain After Brexit,1991.0,university of groningen,university of groningen,professor,university of groningen,professor,Steven Brakman
2207,From gross exports to value-added exports to income exports,1991.0,university of groningen,university of groningen,professor,university of groningen,professor,Steven Brakman
