,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
450,The Impact of Financial Education of Managers on Medium and Large Enterprises - A Randomized Controlled Trial in Mozambique,2019.0,Nova School of Business and Economics,stockholm school of economics,assistant professor,stockholm school of economics,assistant professor,Diogo Mendes
451,Information Frictions and Firm Take up of Government Support: A Randomised Controlled Experiment,2019.0,Nova School of Business and Economics,stockholm school of economics,assistant professor,stockholm school of economics,assistant professor,Diogo Mendes
