,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2118,European Financial Integration During The Covid-19 Crisis,,Facolt?† di Scienze Politiche Cesare Alfieri - Firenze,european central bank,principal economist,european central bank,senior team lead - economist-statistician,Stefano Borgioli
2119,Financial integration and structure in EMU during the corona crisis,,Facolt?† di Scienze Politiche Cesare Alfieri - Firenze,european central bank,principal economist,european central bank,principal economist,Stefano Borgioli
