,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
37,Appropriation artists,2010.0,Technical University of Berlin,World Intellectual Property Organisation,Head of Creative Economy Section,World Intellectual Property Organisation,Head of Creative Economy Section,Alexander Cuntz
38,Covid-19 impact on artistic income,2010.0,Technical University of Berlin,World Intellectual Property Organisation,Head of Creative Economy Section,World Intellectual Property Organisation,head of section,Alexander Cuntz
