,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1354,Mutual Fund Performance and Flows During the COVID-19 Crisis,,university of chicago,university of chicago,phd student,university of chicago,phd student,Matthew Blair Vorsatz
1355,Mutual Fund Performance and Flows During the COVID-19 Crisis,,university of chicago,university of chicago,phd student,university of chicago,phd student,Matthew Blair Vorsatz
1356,Mutual Fund Performance and Flows During the COVID-19 Crisis,,university of chicago,university of chicago,phd student,,,Matthew Blair Vorsatz
1357,Mutual fund performance and flows under COVID-19,,university of chicago,university of chicago,phd student,university of chicago,phd student,Matthew Blair Vorsatz
