,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1194,Interpreting The Ecbs Definition Of Price Stability,2008.0,,bank of finland,senior adviser,bank of finland,senior adviser,Maritta Paloviita
1195,"IQ, Expectations, and Choice",2008.0,,bank of finland,senior adviser,bank of finland,senior adviser,Maritta Paloviita
1196,Reading between the lines of the ECB's introductory statements,2008.0,,bank of finland,senior adviser,finalnds bank,senior advisor,Maritta Paloviita
