,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1225,Interpreting The Ecbs Definition Of Price Stability,1999.0,university of helsinki,bank of finland,senior advisor,bank of finland,senior advisor,Markus Haavio
1226,Reading between the lines of the ECB's introductory statements,1999.0,university of helsinki,bank of finland,senior advisor,bank of finland,senior advisor,Markus Haavio
1227,Large trade shocks and economic crises,1999.0,university of helsinki,bank of finland,senior advisor,bank of finland,senior advisor,Markus Haavio
