,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1140,Integrating Refugees: Language Training or Work-First Incentives?,2020.0,university of copenhagen,university of copenhagen,phd student,university of copenhagen,phd student,Linea Hasager
1141,Language training and refugees’ success,2020.0,university of copenhagen,university of copenhagen,phd student,university of copenhagen,postdoc,Linea Hasager
