,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
977,Flattening The Curve: Pandemic-Induced Revaluation Of Urban Real Estate,,university of pennsylvania,new york university,ma student,new york university,ma student,Jonas Peeters
978,Flattening the Curve: Pandemic-Induced Revaluation of Urban Real Estate,,university of pennsylvania,new york university,ma student,new york university,ma student,Jonas Peeters
979,Flattening the Curve: Pandemic-Induced Revaluation of Urban Real Estate,,university of pennsylvania,new york university,ma student,new york university,ma student,Jonas Peeters
