,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
699,Supply And Demand Shocks In The Covid-19 Pandemic: An Industry And Occupation Perspective,1981.0,university of california santa cruz,university of oxford,professor,university of oxford,professor,J Doyne Farmer
700,An Industry And Occupation Perspective On The Effects Of Covid-19,1981.0,university of california santa cruz,university of oxford,professor,university of oxford,professor,J Doyne Farmer
701,Production networks and epidemic spreading: Re-opening the UK economy,1981.0,university of california santa cruz,university of oxford,professor,university of oxford,professor,J Doyne Farmer
