,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
598,The European Commissions Sure Initiative And Euro Area Unemployment Re-Insurance,1977.0,university of vienna,vienna institute for international economic studies,senior research associate,vienna institute for international economic studies,senior research associate,Georg Fischer
599,Income inequality in the EU: Trends and policy implications,1977.0,university of vienna,vienna institute for international economic studies,senior research associate,vienna institute for international economic studies,senior research associate,Georg Fischer
