,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
757,Using machine learning and qualitative interviews to design a five-question women's agency index,2015.0,"university of california, berkeley",harvard university,research associate,harvard university,research associate,Jan Cooper
758,Using Machine Learning and Qualitative Interviews to Design a Five-Question Women's Agency Index,2015.0,"university of california, berkeley",harvard university,research associate,,,Jan Cooper
