,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
2052,Substance Abuse Treatment Centers And Local Crime,2018.0,Texas A&M University,Texas A&M University,graduate research assistant,Texas A&M University,,Samuel Bondurant
2053,"Beyond Reading, Writing, and Arithmetic: The Role of Teachers and Schools in Reporting Child Maltreatment",2018.0,Texas A&M University,Texas A&M University,graduate research assistant,texas state university,phd graduate,Samuel Bondurant
