,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
377,Artificial Intelligence And The Modern Productivity Paradox: A Clash Of Expectations And Statistics,2019.0,massachusetts institute of technology,university of pennsylvania,assistant professor,massachusetts insitute of technology,phd candidate,Daniel Rock
378,The Productivity J-Curve: How Intangibles Complement General Purpose Technologies,2019.0,massachusetts institute of technology,university of pennsylvania,assistant professor,massachusetts insitute of technology,phd candidate,Daniel Rock
379,COVID-19 and Remote Work: An Early Look at US Data,2019.0,massachusetts institute of technology,university of pennsylvania,assistant professor,university of pennsylvania,assistant professor,Daniel Rock
380,Digital Capital And Superstar Firms,2019.0,massachusetts institute of technology,university of pennsylvania,assistant professor,university of pennsylvania,assistant professor,Daniel Rock
