,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1293,Central bank digital currency in an open economy,2017.0,catholic university of milan,ecb,economist,ecb,economist,Massimo Ferrari
1294,The international dimension of a central bank digital currency,2017.0,catholic university of milan,ecb,economist,ecb,economist,Massimo Ferrari
1295,Technology and the geography of the foreign exchange market,2017.0,catholic university of milan,ecb,economist,european central bank,economist,Massimo Ferrari
