,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1291,Regulating personal data: Linking different models to digital services trade,,hamburg university,hamburg university,phd candidate,hamburg university,phd candidate,Martina F Ferracane
1292,The Cost Of Data Protectionism,,,university of hamburg,phd student,university of hamburg,phd student,Martina F Ferracane
