,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
726,Product Variety And Demand Uncertainty,1988.0,massachusetts insitute of technology,northeastern university,professor,northwestern university,associate professor,James Dana Jr
727,Intertemporal Price Discrimination in Sequential Quantity-Price Games,1988.0,massachusetts insitute of technology,northeastern university,professor,northwestern university,professor,James Dana Jr
