,title,yearPhDgraduation,phd_institution,curr_affiliation,curr_position,pub_affiliation,pub_position,name_corrections
1924,Capital Flows At Risk: Taming The Ebbs And Flows,1990.0,new york university,international monetary fund,deputy director,international monetary fund,deputy director,Ratna Sahay
1925,Capital Flows At Risk: Taming The Ebbs And Flows,1990.0,new york university,international monetary fund,deputy director,international monetary fund,deputy director,Ratna Sahay
1926,Monetary Policy Transmission in Emerging Markets and Developing Economies,1990.0,new york university,international monetary fund,deputy director,international monetary fund,deputy director,Ratna Sahay
